R,curvature,threshold,frac_mean,frac_std,neigh_mean,neigh_std,n_seeds
6,0.027778,0.1,0.2357144,0.059998027179047966,5.316685299999999,0.12023548326122793,10
10,0.01,0.1,0.3748386,0.13142776957299904,5.512038600000001,0.10833101014056211,10
14,0.005102,0.1,0.5114753999999999,0.10557609275799348,5.6469852000000005,0.04363017241748717,10
18,0.003086,0.1,0.7101392000000001,0.0560105135622868,5.721422200000002,0.037122105477437106,10
22,0.002066,0.1,0.7618351999999999,0.05087080022479607,5.772488699999999,0.03082037224464218,10
26,0.001479,0.1,0.8041906000000001,0.021030395310914444,5.7910563,0.01752805013017986,10
30,0.001111,0.1,0.8353823,0.015065743681537212,5.8197487,0.018891421890030333,10
34,0.000865,0.1,0.8620823,0.013729223624970385,5.844143400000001,0.018941839088131778,10
38,0.000693,0.1,0.8855169,0.016769635498920858,5.8419766,0.02239277255920172,10
42,0.000567,0.1,0.9054359,0.010643305287049383,5.8626942999999985,0.020544209086582537,10
46,0.000473,0.1,0.9119828999999999,0.008529299938056662,5.8675085000000005,0.011742802595488435,10
50,0.0004,0.1,0.9111195999999999,0.011454938073454034,5.870158300000001,0.01711315450648166,10
100,0.0001,0.1,0.9613423999999998,0.0033284832114476707,5.9146388000000005,0.006538233050064014,10
6,0.027778,0.125,0.2357144,0.059998027179047966,5.316685299999999,0.12023548326122793,10
10,0.01,0.125,0.3580645,0.12211778553443119,5.512038600000001,0.10833101014056211,10
14,0.005102,0.125,0.5091802999999999,0.0975198831692514,5.6469852000000005,0.04363017241748717,10
18,0.003086,0.125,0.7035785,0.032794069095391815,5.721422200000002,0.037122105477437106,10
22,0.002066,0.125,0.7722076,0.037144661345728934,5.772488699999999,0.03082037224464218,10
26,0.001479,0.125,0.8027619999999999,0.015101536919576533,5.7910563,0.01752805013017986,10
30,0.001111,0.125,0.8395282,0.015457047826513044,5.8197487,0.018891421890030333,10
34,0.000865,0.125,0.8605235,0.012409470400106174,5.844143400000001,0.018941839088131778,10
38,0.000693,0.125,0.8869876,0.016948650173719177,5.8419766,0.02239277255920172,10
42,0.000567,0.125,0.8983946999999999,0.005234021442022913,5.8626942999999985,0.020544209086582537,10
46,0.000473,0.125,0.9074514,0.008041862722307827,5.8675085000000005,0.011742802595488435,10
50,0.0004,0.125,0.912072,0.006620794363216557,5.870158300000001,0.01711315450648166,10
100,0.0001,0.125,0.9608599000000002,0.003872326215883974,5.9146388000000005,0.006538233050064014,10
6,0.027778,0.15,0.2357144,0.059998027179047966,5.316685299999999,0.12023548326122793,10
10,0.01,0.15,0.3535483,0.12416646366699288,5.512038600000001,0.10833101014056211,10
14,0.005102,0.15,0.5206557999999999,0.0686491350043425,5.6469852000000005,0.04363017241748717,10
18,0.003086,0.15,0.692843,0.04350837739255893,5.721422200000002,0.037122105477437106,10
22,0.002066,0.15,0.7549203,0.05294738814259132,5.772488699999999,0.03082037224464218,10
26,0.001479,0.15,0.8118095000000001,0.017173273138157946,5.7910563,0.01752805013017986,10
30,0.001111,0.15,0.8278056000000001,0.023896536026052916,5.8197487,0.018891421890030333,10
34,0.000865,0.15,0.8579622,0.011668951555302622,5.844143400000001,0.018941839088131778,10
38,0.000693,0.15,0.8745543,0.012562705485771064,5.8419766,0.02239277255920172,10
42,0.000567,0.15,0.8978111,0.01030675923255112,5.8626942999999985,0.020544209086582537,10
46,0.000473,0.15,0.9049269000000001,0.009283063999085177,5.8675085000000005,0.011742802595488435,10
50,0.0004,0.15,0.9116088999999998,0.006102329963947291,5.870158300000001,0.01711315450648166,10
100,0.0001,0.15,0.9606023,0.003012427520566534,5.9146388000000005,0.006538233050064014,10
6,0.027778,0.175,0.2357144,0.059998027179047966,5.316685299999999,0.12023548326122793,10
10,0.01,0.175,0.352258,0.12573576564013564,5.512038600000001,0.10833101014056211,10
14,0.005102,0.175,0.5393443,0.06276790131915443,5.6469852000000005,0.04363017241748717,10
18,0.003086,0.175,0.7143141999999999,0.028871622922478354,5.721422200000002,0.037122105477437106,10
22,0.002066,0.175,0.7710107,0.036755054842233,5.772488699999999,0.03082037224464218,10
26,0.001479,0.175,0.8072381,0.021192597100822188,5.7910563,0.01752805013017986,10
30,0.001111,0.175,0.8255182,0.017340896540964813,5.8197487,0.018891421890030333,10
34,0.000865,0.175,0.8484409999999999,0.018596578490559908,5.844143400000001,0.018941839088131778,10
38,0.000693,0.175,0.8732620000000001,0.013306431143540227,5.8419766,0.02239277255920172,10
42,0.000567,0.175,0.89139,0.011952512381178379,5.8626942999999985,0.020544209086582537,10
46,0.000473,0.175,0.9050181,0.008669032964780124,5.8675085000000005,0.011742802595488435,10
50,0.0004,0.175,0.9071298999999999,0.004784683373943236,5.870158300000001,0.01711315450648166,10
100,0.0001,0.175,0.9580022999999999,0.004687185320993119,5.9146388000000005,0.006538233050064014,10
6,0.027778,0.2,0.2357144,0.059998027179047966,5.316685299999999,0.12023548326122793,10
10,0.01,0.2,0.3316128,0.11728622032143797,5.512038600000001,0.10833101014056211,10
14,0.005102,0.2,0.4711475,0.07571892279308022,5.6469852000000005,0.04363017241748717,10
18,0.003086,0.2,0.6180914,0.051515154631536435,5.721422200000002,0.037122105477437106,10
22,0.002066,0.2,0.7284576,0.05465911667619797,5.772488699999999,0.03082037224464218,10
26,0.001479,0.2,0.7659999999999999,0.03371393880874794,5.7910563,0.01752805013017986,10
30,0.001111,0.2,0.7967834,0.0213033530600232,5.8197487,0.018891421890030333,10
34,0.000865,0.2,0.8269488,0.026239452779693733,5.844143400000001,0.018941839088131778,10
38,0.000693,0.2,0.8452318,0.007102472868265288,5.8419766,0.02239277255920172,10
42,0.000567,0.2,0.8727834999999999,0.0076875114489526305,5.8626942999999985,0.020544209086582537,10
46,0.000473,0.2,0.8824208,0.007403140081523952,5.8675085000000005,0.011742802595488435,10
50,0.0004,0.2,0.8851995,0.010440884490523055,5.870158300000001,0.01711315450648166,10
100,0.0001,0.2,0.9499709000000001,0.0037370635962239605,5.9146388000000005,0.006538233050064014,10
6,0.027778,0.3,0.1964288,0.029160699099225234,5.316685299999999,0.12023548326122793,10
10,0.01,0.3,0.20451619999999998,0.04592798285673875,5.512038600000001,0.10833101014056211,10
14,0.005102,0.3,0.2701639,0.07163613130947881,5.6469852000000005,0.04363017241748717,10
18,0.003086,0.3,0.4099404,0.06615496523265153,5.721422200000002,0.037122105477437106,10
22,0.002066,0.3,0.5575796000000001,0.046363014565491766,5.772488699999999,0.03082037224464218,10
26,0.001479,0.3,0.6063809,0.043657613978803536,5.7910563,0.01752805013017986,10
30,0.001111,0.3,0.6646175999999999,0.030064481968669343,5.8197487,0.018891421890030333,10
34,0.000865,0.3,0.6916482,0.017134982163204412,5.844143400000001,0.018941839088131778,10
38,0.000693,0.3,0.7372547999999999,0.019866385119928918,5.8419766,0.02239277255920172,10
42,0.000567,0.3,0.7647208000000001,0.02236652593000928,5.8626942999999985,0.020544209086582537,10
46,0.000473,0.3,0.7876521,0.02063429607043142,5.8675085000000005,0.011742802595488435,10
50,0.0004,0.3,0.8049419999999999,0.015454527305039868,5.870158300000001,0.01711315450648166,10
100,0.0001,0.3,0.9046591000000002,0.007741915043737197,5.9146388000000005,0.006538233050064014,10
